iter	RMSE
0	70223.27546
1	68155.93946
2	66161.61221
3	64212.75704
4	62553.28438
5	60884.56797
6	59329.40369
7	57724.26438
8	56297.41612
9	54962.13576
10	53497.37769
11	52526.11535
12	51286.86081
13	50220.46189
14	49210.01711
15	48070.90116
16	46982.1745
17	45872.09081
18	44940.24389
19	44066.29853
20	43236.55087
21	42512.15319
22	41735.01517
23	40983.96481
24	40334.78365
25	39691.91116
26	39089.59735
27	38552.97645
28	37954.6165
29	37436.90496
30	36930.93036
31	36444.97265
32	36034.7095
33	35608.39462
34	35154.2272
35	34692.23901
36	34363.78838
37	33981.37956
38	33574.49756
39	33302.82447
40	32955.51324
41	32685.2589
42	32356.92725
43	32045.3002
44	31773.84277
45	31555.8759
46	31299.16283
47	31062.21376
48	30814.48461
49	30565.67148
50	30371.15562
51	30150.77125
52	29970.839
53	29800.5146
54	29628.61822
55	29441.77393
56	29277.6155
57	29148.73924
58	29050.22049
59	28869.00844
60	28743.61023
61	28608.34893
62	28448.37647
63	28282.65862
64	28173.92752
65	28063.24639
66	27965.82915
67	27860.20291
68	27738.8452
69	27612.37665
70	27565.23436
71	27472.27114
72	27372.44508
73	27291.99027
74	27232.63481
75	27199.69915
76	27086.81721
77	27014.77459
78	26955.17574
79	26900.7922
80	26842.31288
81	26805.42891
82	26731.37017
83	26632.27117
84	26606.37965
85	26560.416
86	26515.26646
87	26452.36862
88	26381.21635
89	26363.94955
90	26304.54061
91	26236.16825
92	26211.38127
93	26183.8718
94	26104.79788
95	26059.34431
96	26021.82123
97	26003.86256
98	25987.1026
99	25934.68216
100	25873.72026
101	25825.72013
102	25779.02597
103	25705.19445
104	25674.45709
105	25656.96439
106	25624.71383
107	25619.37812
108	25553.8038
109	25514.40209
110	25443.85112
111	25396.69819
112	25351.6801
113	25307.79185
114	25274.25854
115	25228.76655
116	25196.58456
117	25165.93589
118	25107.24249
119	25099.04708
120	25045.22426
121	25018.90026
122	24997.24613
123	24939.56838
124	24909.40914
125	24887.61685
126	24816.45424
127	24796.49079
128	24774.02291
129	24757.07935
130	24735.81294
131	24707.28127
132	24680.29235
133	24652.65114
134	24623.37018
135	24550.9423
136	24530.43939
137	24501.88938
138	24477.97766
139	24459.79254
140	24439.59513
141	24427.57609
142	24397.78275
143	24378.87644
144	24363.02601
145	24330.71341
146	24313.71062
147	24297.00827
148	24252.54271
149	24239.27603
150	24219.60268
151	24203.80611
152	24175.94802
153	24161.83778
154	24143.6426
155	24123.15597
156	24097.05363
157	24080.11346
158	24069.26216
159	24018.17459
160	23994.3894
161	23982.83004
162	23956.54739
163	23945.06134
164	23930.64288
165	23910.07291
166	23896.43251
167	23879.47276
168	23868.94675
169	23850.1412
170	23823.12323
171	23810.98903
172	23793.84634
173	23784.95897
174	23767.27008
175	23758.99006
176	23736.59294
177	23705.63271
178	23697.29891
179	23682.80043
180	23673.2475
181	23639.44467
182	23624.48355
183	23608.91628
184	23603.15653
185	23592.9502
186	23575.98033
187	23553.48302
